Frequency,Mode,Name
162.400,FM,Weather WX2 / Public Alert 1
162.425,FM,Weather WX4 / Public Alert 2
162.450,FM,Weather WX5 / Public Alert 3
162.475,FM,Weather WX3 / Public Alert 4
162.500,FM,Weather WX6 / Public Alert 5
162.525,FM,Weather WX7 / Public Alert 6
162.550,FM,Weather WX1 / Public Alert 7
162.650,FM,Weather WX8
161.775,FM,Weather WX9
163.275,FM,Weather WX10
